network,ip_start,ip_end,region,university
1.185.192.0/18,1.185.192.0,1.185.255.255,广西桂林市,广西师范大学
1.185.64.0/19,1.185.0.0,1.185.95.255,广西南宁市,广西大学教育网
1.185.0.0/18,1.185.0.0,1.185.95.255,广西南宁市,广西大学教育网
1.184.0.0/15,1.184.0.0,1.184.127.255,广东省广州市,暨南大学
1.51.192.0/18,1.51.192.0,1.51.255.255,山东省济南市,山东大学教育网
1.51.176.0/20,1.51.168.0,1.51.191.255,山东省德州市,德州学院教育网
111.114.0.0/18,111.114.0.0,111.114.63.255,陕西省西安市,陕西科技大学
122.204.144.0/20,122.204.128.0,122.204.191.255,湖北省武汉市,华中师范大学
202.115.160.0/24,202.115.160.0,202.115.175.255,四川省绵阳市,西南科技大学教育网
210.29.224.0/21,210.29.224.0,210.29.227.253,江苏省淮安市,淮安信息职业技术学院宿舍宽带
210.31.248.0/21,210.31.248.0,210.31.255.255,河北省石家庄市,石家庄学院
42.244.64.0/20,42.244.64.0,42.244.79.255,江苏省徐州市,徐州医学院教育网
211.82.192.0/21,211.82.192.0,211.82.199.255,河北省张家口市,河北北方学院
219.242.240.0/20,219.242.240.0,219.242.255.255,北京市,北京交通大学教育网
219.246.224.0/19,219.246.224.0,219.246.255.255,甘肃省兰州市,兰州理工大学教育网
222.203.244.0/22,222.203.244.0,222.203.247.255,广西南宁市,广西职业技术学院
222.207.10.0/23,222.207.10.0,222.207.11.255,安徽省六安市,六安职业技术学院
223.129.4.0/22,223.129.0.0,223.129.127.255,四川省成都市,四川大学
223.129.0.0/22,223.129.0.0,223.129.127.255,四川省成都市,四川大学
223.128.160.0/20,223.128.160.0,223.128.175.255,四川省内江市,内江职业技术学院
223.128.144.0/20,223.128.144.0,223.128.159.255,四川省成都市,西华大学
223.128.128.0/20,223.128.128.0,223.128.143.255,四川省雅安市,四川农业大学
42.244.13.0/24,42.244.0.0,42.244.63.255,江苏省苏州市,苏州大学教育网
223.3.0.0/16,223.3.0.0,223.3.255.255,江苏省南京市,东南大学
223.2.240.0/20,223.2.240.0,223.2.255.255,江苏省南京市,南京广播电视大学
223.2.224.0/21,223.2.208.0,223.2.231.255,江苏省南京市,南京中医药大学
223.2.208.0/20,223.2.208.0,223.2.231.255,江苏省南京市,南京中医药大学
223.2.192.0/20,223.2.192.0,223.2.207.255,江苏省南京市,金陵科技学院
223.2.176.0/21,223.2.160.0,223.2.183.255,江苏省徐州市,徐州医学院
223.2.160.0/20,223.2.160.0,223.2.183.255,江苏省徐州市,徐州医学院
223.2.128.0/19,223.2.128.0,223.2.159.255,江苏省徐州市,徐州师范大学
223.2.120.0/21,223.2.120.0,223.2.127.255,江苏省无锡市,江苏信息科技学院
223.2.112.0/21,223.2.96.0,223.2.119.255,江苏省南京市,南京林业大学
223.128.0.0/17,223.128.0.0,223.128.127.255,四川省成都市,成都理工大学
223.2.88.0/21,223.2.88.0,223.2.95.255,江苏省南京市,南京医科大学
223.2.80.0/21,223.2.64.0,223.2.87.255,江苏省南京市,应天学院
223.2.64.0/20,223.2.64.0,223.2.87.255,江苏省南京市,应天学院
223.2.0.0/18,223.2.0.0,223.2.63.255,江苏省南京市,南京师范大学
222.207.240.0/20,222.207.240.0,222.207.255.255,山东省济南市,中华女子学院山东分院
222.207.232.0/21,222.207.232.0,222.207.239.255,山东省济南市,山东圣翰财贸职业学院
222.207.224.0/21,222.207.224.0,222.207.231.255,山东省日照市,山东水利职业学院
222.207.208.0/20,222.207.208.0,222.207.223.255,山东省济南市,济南职业学院
222.207.204.0/22,222.207.204.0,222.207.207.255,山东省潍坊市,山东科技职业学院
222.207.192.0/21,222.207.192.0,222.207.199.255,山东省德州市,山东华宇职业技术学院
42.244.0.0/18,42.244.0.0,42.244.63.255,江苏省苏州市,苏州大学教育网
223.2.96.0/20,223.2.96.0,223.2.119.255,江苏省南京市,南京林业大学
222.207.160.0/21,222.207.160.0,222.207.167.255,山东省聊城市,聊城职业技术学院
222.207.152.0/21,222.207.152.0,222.207.159.255,山东省济南市,山东力明科技职业学院
222.207.144.0/21,222.207.144.0,222.207.151.255,山东省青岛市,山东外贸职业学院
222.207.80.0/21,222.207.80.0,222.207.87.255,安徽省芜湖市,安徽工程大学
222.207.68.0/23,222.207.68.0,222.207.69.255,安徽省合肥市,安徽机械电子科技学院
222.207.64.0/23,222.207.64.0,222.207.65.255,安徽省合肥市,安徽艺术职业学院
222.207.48.0/20,222.207.48.0,222.207.48.255,安徽省阜阳市,职业技术学院
222.207.16.0/20,222.207.16.0,222.207.31.255,安徽省阜阳市,阜阳师范学院
222.207.14.0/24,222.207.14.0,222.207.15.255,安徽省六安市,安徽国防科技职业学院
222.207.12.0/23,222.207.12.0,222.207.13.255,安徽省蚌埠市,蚌埠学院
222.207.8.0/23,222.207.8.0,222.207.9.255,安徽省合肥市,安徽水利水电职业技术学院
222.207.72.0/21,222.207.72.0,222.207.79.255,安徽省合肥市,安徽新华学院
222.206.220.0/22,222.206.220.0,222.206.223.255,山东省青岛市,青岛港湾职业技术学院
222.207.32.0/20,222.207.32.0,222.207.47.255,安徽省六安市,皖西学院
222.206.206.0/23,222.206.192.0,222.206.207.255,山东省青岛市,中国海洋大学
